Flight No.,"Date and
time (UTC)","Version,
booster","Launch
site",Payload,Payload mass,Orbit,Customer,"Launch
outcome","Booster
landing"
FH 8,"13 October 2023
14:19","Falcon Heavy B5
B1079 (core)","Kennedy, LC‑39A",Psyche,"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,No attempt
FH 8,"13 October 2023
14:19",B1064.4 (side),"Kennedy, LC‑39A",Psyche,"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,Success (LZ‑1)
FH 8,"13 October 2023
14:19",B1065.4 (side),"Kennedy, LC‑39A",Psyche,"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,Success (LZ‑2)
FH 8,"Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System. Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2."
263,"13 October 2023
23:01","F9 B5
B1067.14","Cape Canaveral, SLC‑40",Starlink: Group 6-22 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
263,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
264,"18 October 2023
00:39","F9 B5
B1062.16","Cape Canaveral, SLC‑40",Starlink: Group 6-23 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
264,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
265,"21 October 2023
08:23","F9 B5
B1061.16","Vandenberg, SLC‑4E",Starlink: Group 7-5 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
265,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.
266,"22 October 2023
02:17","F9 B5
B1080.4","Cape Canaveral, SLC‑40",Starlink: Group 6-24 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
266,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg."
267,"29 October 2023
09:00","F9 B5
B1075.7","Vandenberg, SLC‑4E",Starlink: Group 7-6 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
267,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.
268,"30 October 2023
23:20","F9 B5
B1077.8","Cape Canaveral, SLC‑40",Starlink: Group 6-25 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
268,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
269,"4 November 2023
00:37","F9 B5
B1058.18","Cape Canaveral, SLC‑40",Starlink: Group 6-26 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
269,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.
270,"8 November 2023
05:05","F9 B5
B1073.11","Cape Canaveral, SLC‑40",Starlink: Group 6-27 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
270,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
271,"10 November 2023
01:28","F9 B5
B1081.2","Kennedy, LC‑39A",SpaceX CRS-29 (Dragon C211.2),"~9,525 kg (20,999 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
271,"Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment."
272,"11 November 2023
18:49","F9 B5
B1071.12","Vandenberg, SLC‑4E",Transporter-9 (113 payload smallsat rideshare),Unknown,SSO,Various,Success,Success (LZ‑4)
272,"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited."
273,"12 November 2023
21:08","F9 B5
B1076.9","Cape Canaveral, SLC‑40",O3b mPOWER 5 & 6,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success (ASOG)
273,"Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year.","Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services. This is the first time a single booster launched for 8 times in a single calendar year."
274,"18 November 2023
05:05","F9 B5
B1069.11","Cape Canaveral, SLC‑40",Starlink: Group 6-28 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
274,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
275,"20 November 2023
10:30","F9 B5
B1063.15","Vandenberg, SLC‑4E",Starlink: Group 7-7 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
275,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.
276,"22 November 2023
07:47","F9 B5
B1067.15","Cape Canaveral, SLC‑40",Starlink: Group 6-29 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
276,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
277,"28 November 2023
04:20","F9 B5
B1062.17","Cape Canaveral, SLC‑40",Starlink: Group 6-30 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
277,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.
278,"1 December 2023
18:19","F9 B5
B1061.17","Vandenberg, SLC‑4E","425 Project SAR satellite
EIRSAT-1 and others 23 secondary payloads","~800 kg (1,800 lb)
(main satellite)",SSO,Republic of Korea Armed Forces,Success,Success (LZ‑4)
278,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft. SpaceX completing 250th landing of a Falcon first-stage booster this mission.
279,"3 December 2023
04:00","F9 B5
B1078.6","Cape Canaveral, SLC‑40",Starlink: Group 6-31 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
